search_range;description;link_page;link_pdf;name_pdf;published;date_save_pdf;pdf_ok
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3617/2024 - Diário da República n.º 67/2024, Série II de 2024-04-04;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3617-2024-859190931;https://files.diariodarepublica.pt/2s/2024/04/067000000/0004000041.pdf;despacho_3617-2024_dr_67-2024.pdf;2024-04-04;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3593/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3593-2024-858592035;https://files.diariodarepublica.pt/2s/2024/04/066000000/0003200033.pdf;despacho_3593-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3592/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3592-2024-858592034;https://files.diariodarepublica.pt/2s/2024/04/066000000/0003000031.pdf;despacho_3592-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3591/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3591-2024-858592033;https://files.diariodarepublica.pt/2s/2024/04/066000000/0002800029.pdf;despacho_3591-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3590/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3590-2024-858592032;https://files.diariodarepublica.pt/2s/2024/04/066000000/0002600027.pdf;despacho_3590-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3589/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3589-2024-858592031;https://files.diariodarepublica.pt/2s/2024/04/066000000/0002400025.pdf;despacho_3589-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3588/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3588-2024-858592030;https://files.diariodarepublica.pt/2s/2024/04/066000000/0002200023.pdf;despacho_3588-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3587/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3587-2024-858592029;https://files.diariodarepublica.pt/2s/2024/04/066000000/0002000021.pdf;despacho_3587-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3586/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3586-2024-858592028;https://files.diariodarepublica.pt/2s/2024/04/066000000/0001800019.pdf;despacho_3586-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3585/2024 - Diário da República n.º 66/2024, Série II de 2024-04-03;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3585-2024-858592027;https://files.diariodarepublica.pt/2s/2024/04/066000000/0001600017.pdf;despacho_3585-2024_dr_66-2024.pdf;2024-04-03;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3140/2024 - Diário da República n.º 60/2024, Série II de 2024-03-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3140-2024-857146393;https://files.diariodarepublica.pt/2s/2024/03/060000000/0012100122.pdf;despacho_3140-2024_dr_60-2024.pdf;2024-03-25;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3139/2024 - Diário da República n.º 60/2024, Série II de 2024-03-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3139-2024-857146392;https://files.diariodarepublica.pt/2s/2024/03/060000000/0011900120.pdf;despacho_3139-2024_dr_60-2024.pdf;2024-03-25;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3138/2024 - Diário da República n.º 60/2024, Série II de 2024-03-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3138-2024-857146391;https://files.diariodarepublica.pt/2s/2024/03/060000000/0011700118.pdf;despacho_3138-2024_dr_60-2024.pdf;2024-03-25;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3137/2024 - Diário da República n.º 60/2024, Série II de 2024-03-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3137-2024-857146390;https://files.diariodarepublica.pt/2s/2024/03/060000000/0011500116.pdf;despacho_3137-2024_dr_60-2024.pdf;2024-03-25;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 3136/2024 - Diário da República n.º 60/2024, Série II de 2024-03-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/3136-2024-857146389;https://files.diariodarepublica.pt/2s/2024/03/060000000/0011300114.pdf;despacho_3136-2024_dr_60-2024.pdf;2024-03-25;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 2960/2024 - Diário da República n.º 57/2024, Série II de 2024-03-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2960-2024-856341927;https://files.diariodarepublica.pt/2s/2024/03/057000000/0003700038.pdf;despacho_2960-2024_dr_57-2024.pdf;2024-03-20;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 2959/2024 - Diário da República n.º 57/2024, Série II de 2024-03-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2959-2024-856341926;https://files.diariodarepublica.pt/2s/2024/03/057000000/0003500036.pdf;despacho_2959-2024_dr_57-2024.pdf;2024-03-20;06/04/2024 16:16;True
[2024-03-09]-[2024-04-06];Despacho (extrato) n.º 2958/2024 - Diário da República n.º 57/2024, Série II de 2024-03-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/2958-2024-856341925;https://files.diariodarepublica.pt/2s/2024/03/057000000/0003300034.pdf;despacho_2958-2024_dr_57-2024.pdf;2024-03-20;06/04/2024 16:17;True
