search_range;description;link_page;link_pdf;name_pdf;published
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4405/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4405-2024-862750993;https://files.diariodarepublica.pt/2s/2024/04/080000000/0008300084.pdf;despacho_4405-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4404/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4404-2024-862750992;https://files.diariodarepublica.pt/2s/2024/04/080000000/0008100082.pdf;despacho_4404-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4403/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4403-2024-862750991;https://files.diariodarepublica.pt/2s/2024/04/080000000/0007900080.pdf;despacho_4403-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4402/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4402-2024-862750990;https://files.diariodarepublica.pt/2s/2024/04/080000000/0007700078.pdf;despacho_4402-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4401/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4401-2024-862750989;https://files.diariodarepublica.pt/2s/2024/04/080000000/0007500076.pdf;despacho_4401-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4400/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4400-2024-862750988;https://files.diariodarepublica.pt/2s/2024/04/080000000/0007300074.pdf;despacho_4400-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4399/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4399-2024-862750987;https://files.diariodarepublica.pt/2s/2024/04/080000000/0007100072.pdf;despacho_4399-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4398/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4398-2024-862750986;https://files.diariodarepublica.pt/2s/2024/04/080000000/0006900070.pdf;despacho_4398-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4397/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4397-2024-862750985;https://files.diariodarepublica.pt/2s/2024/04/080000000/0006700068.pdf;despacho_4397-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4396/2024 - Diário da República n.º 80/2024, Série II de 2024-04-23;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4396-2024-862750984;https://files.diariodarepublica.pt/2s/2024/04/080000000/0006500066.pdf;despacho_4396-2024_dr_80-2024.pdf;2024-04-23
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4018/2024 - Diário da República n.º 73/2024, Série II de 2024-04-12;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4018-2024-860270837;https://files.diariodarepublica.pt/2s/2024/04/073000000/0002900030.pdf;despacho_4018-2024_dr_73-2024.pdf;2024-04-12
[2024-04-06]-[2024-04-30];Despacho (extrato) n.º 4017/2024 - Diário da República n.º 73/2024, Série II de 2024-04-12;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/4017-2024-860270836;https://files.diariodarepublica.pt/2s/2024/04/073000000/0002700028.pdf;despacho_4017-2024_dr_73-2024.pdf;2024-04-12
