search_range;description;link_page;link_pdf;name_pdf;published
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 12336/2023 - Diário da República n.º 233/2023, Série II de 2023-12-04;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/12336-2023-225094174;https://files.diariodarepublica.pt/2s/2023/12/233000000/0006800068.pdf;despacho_12336-2023_dr_233-2023.pdf;2023-12-04
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 12335/2023 - Diário da República n.º 233/2023, Série II de 2023-12-04;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/12335-2023-225094173;https://files.diariodarepublica.pt/2s/2023/12/233000000/0006700067.pdf;despacho_12335-2023_dr_233-2023.pdf;2023-12-04
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 12334/2023 - Diário da República n.º 233/2023, Série II de 2023-12-04;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/12334-2023-225094172;https://files.diariodarepublica.pt/2s/2023/12/233000000/0006600066.pdf;despacho_12334-2023_dr_233-2023.pdf;2023-12-04
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11739/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11739-2023-224432872;https://files.diariodarepublica.pt/2s/2023/11/224000000/0004200042.pdf;despacho_11739-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11738/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11738-2023-224432871;https://files.diariodarepublica.pt/2s/2023/11/224000000/0004100041.pdf;despacho_11738-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11737/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11737-2023-224432870;https://files.diariodarepublica.pt/2s/2023/11/224000000/0004000040.pdf;despacho_11737-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11736/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11736-2023-224432869;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003900039.pdf;despacho_11736-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11735/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11735-2023-224432868;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003800038.pdf;despacho_11735-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11734/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11734-2023-224432867;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003700037.pdf;despacho_11734-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11733/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11733-2023-224432866;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003600036.pdf;despacho_11733-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11732/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11732-2023-224432865;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003500035.pdf;despacho_11732-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11731/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11731-2023-224432864;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003400034.pdf;despacho_11731-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11730/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11730-2023-224432863;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003300033.pdf;despacho_11730-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11729/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11729-2023-224432862;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003200032.pdf;despacho_11729-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11728/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11728-2023-224432861;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003100031.pdf;despacho_11728-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11727/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11727-2023-224432860;https://files.diariodarepublica.pt/2s/2023/11/224000000/0003000030.pdf;despacho_11727-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11726/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11726-2023-224432859;https://files.diariodarepublica.pt/2s/2023/11/224000000/0002900029.pdf;despacho_11726-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11725/2023 - Diário da República n.º 224/2023, Série II de 2023-11-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11725-2023-224432858;https://files.diariodarepublica.pt/2s/2023/11/224000000/0002800028.pdf;despacho_11725-2023_dr_224-2023.pdf;2023-11-20
[2023-01-01]-[2023-12-31];Despacho (extrato) n.º 11395/2023 - Diário da República n.º 216/2023, Série II de 2023-11-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11395-2023-223938050;https://files.diariodarepublica.pt/2s/2023/11/216000000/0003200032.pdf;despacho_11395-2023_dr_216-2023.pdf;2023-11-08
