search_range;description;link_page;link_pdf;name_pdf;published
[2007-01-01]-[2008-12-31];Despacho n.º 11738/2008 - Diário da República n.º 81/2008, Série II de 2008-04-24;https://diariodarepublica.pt/dr/detalhe/despacho/11738-2008-3663440;https://files.diariodarepublica.pt/2s/2008/04/081000000/1879518795.pdf;despacho_11738-2008_dr_81-2008.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 8198/2008 - Diário da República n.º 56/2008, Série II de 2008-03-19;https://diariodarepublica.pt/dr/detalhe/despacho/8198-2008-3651246;https://files.diariodarepublica.pt/2s/2008/03/056000000/1205712058.pdf;despacho_8198-2008_dr_56-2008.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 8195/2008 - Diário da República n.º 56/2008, Série II de 2008-03-19;https://diariodarepublica.pt/dr/detalhe/despacho/8195-2008-3651243;https://files.diariodarepublica.pt/2s/2008/03/056000000/1205712057.pdf;despacho_8195-2008_dr_56-2008.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 25394/2007 - Diário da República n.º 214/2007, Série II de 2007-11-07;https://diariodarepublica.pt/dr/detalhe/despacho/25394-2007-3640688;https://files.diariodarepublica.pt/2s/2007/11/214000000/3225932259.pdf;despacho_25394-2007_dr_214-2007.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 25393/2007 - Diário da República n.º 214/2007, Série II de 2007-11-07;https://diariodarepublica.pt/dr/detalhe/despacho/25393-2007-3640687;https://files.diariodarepublica.pt/2s/2007/11/214000000/3225932259.pdf;despacho_25393-2007_dr_214-2007.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 25392/2007 - Diário da República n.º 214/2007, Série II de 2007-11-07;https://diariodarepublica.pt/dr/detalhe/despacho/25392-2007-3640686;https://files.diariodarepublica.pt/2s/2007/11/214000000/3225832258.pdf;despacho_25392-2007_dr_214-2007.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 25391/2007 - Diário da República n.º 214/2007, Série II de 2007-11-07;https://diariodarepublica.pt/dr/detalhe/despacho/25391-2007-3640685;https://files.diariodarepublica.pt/2s/2007/11/214000000/3225832258.pdf;despacho_25391-2007_dr_214-2007.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 5284/2008 - Diário da República n.º 41/2008, Série II de 2008-02-27;https://diariodarepublica.pt/dr/detalhe/despacho/5284-2008-3608426;https://files.diariodarepublica.pt/2s/2008/02/041000000/0787007870.pdf;despacho_5284-2008_dr_41-2008.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 11488/2008 - Diário da República n.º 79/2008, Série II de 2008-04-22;https://diariodarepublica.pt/dr/detalhe/despacho/11488-2008-3580717;https://files.diariodarepublica.pt/2s/2008/04/079000000/1831918319.pdf;despacho_11488-2008_dr_79-2008.pdf;2007-08-30
[2007-01-01]-[2008-12-31];Despacho n.º 11487/2008 - Diário da República n.º 79/2008, Série II de 2008-04-22;https://diariodarepublica.pt/dr/detalhe/despacho/11487-2008-3580716;https://files.diariodarepublica.pt/2s/2008/04/079000000/1831918319.pdf;despacho_11487-2008_dr_79-2008.pdf;2007-08-30
