search_range;description;link_page;link_pdf;name_pdf;published
[2009-01-01]-[2010-12-31];Despacho n.º 18722/2010 - Diário da República n.º 243/2010, Série II de 2010-12-17;https://diariodarepublica.pt/dr/detalhe/despacho/18722-2010-3645846;https://files.diariodarepublica.pt/2s/2010/12/243000000/6119361193.pdf;despacho_18722-2010_dr_243-2010.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 10562/2009 - Diário da República n.º 79/2009, Série II de 2009-04-23;https://diariodarepublica.pt/dr/detalhe/despacho/10562-2009-3581621;https://files.diariodarepublica.pt/2s/2009/04/079000000/1640716407.pdf;despacho_10562-2009_dr_79-2009.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 10560/2009 - Diário da República n.º 79/2009, Série II de 2009-04-23;https://diariodarepublica.pt/dr/detalhe/despacho/10560-2009-3581619;https://files.diariodarepublica.pt/2s/2009/04/079000000/1640616407.pdf;despacho_10560-2009_dr_79-2009.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 10559/2009 - Diário da República n.º 79/2009, Série II de 2009-04-23;https://diariodarepublica.pt/dr/detalhe/despacho/10559-2009-3581618;https://files.diariodarepublica.pt/2s/2009/04/079000000/1640616406.pdf;despacho_10559-2009_dr_79-2009.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 10979/2009 - Diário da República n.º 84/2009, Série II de 2009-04-30;https://diariodarepublica.pt/dr/detalhe/despacho/10979-2009-3576570;https://files.diariodarepublica.pt/2s/2009/04/084000000/1729317293.pdf;despacho_10979-2009_dr_84-2009.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 11054/2009 - Diário da República n.º 85/2009, Série II de 2009-05-04;https://diariodarepublica.pt/dr/detalhe/despacho/11054-2009-3553825;https://files.diariodarepublica.pt/2s/2009/05/085000000/1746217462.pdf;despacho_11054-2009_dr_85-2009.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 11053/2009 - Diário da República n.º 85/2009, Série II de 2009-05-04;https://diariodarepublica.pt/dr/detalhe/despacho/11053-2009-3553824;https://files.diariodarepublica.pt/2s/2009/05/085000000/1746217462.pdf;despacho_11053-2009_dr_85-2009.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 11052/2009 - Diário da República n.º 85/2009, Série II de 2009-05-04;https://diariodarepublica.pt/dr/detalhe/despacho/11052-2009-3553823;https://files.diariodarepublica.pt/2s/2009/05/085000000/1746217462.pdf;despacho_11052-2009_dr_85-2009.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 11051/2009 - Diário da República n.º 85/2009, Série II de 2009-05-04;https://diariodarepublica.pt/dr/detalhe/despacho/11051-2009-3553822;https://files.diariodarepublica.pt/2s/2009/05/085000000/1746217462.pdf;despacho_11051-2009_dr_85-2009.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 7604/2010 - Diário da República n.º 84/2010, Série II de 2010-04-30;https://diariodarepublica.pt/dr/detalhe/despacho/7604-2010-3546939;https://files.diariodarepublica.pt/2s/2010/04/084000000/2271922719.pdf;despacho_7604-2010_dr_84-2010.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 7601/2010 - Diário da República n.º 84/2010, Série II de 2010-04-30;https://diariodarepublica.pt/dr/detalhe/despacho/7601-2010-3546936;https://files.diariodarepublica.pt/2s/2010/04/084000000/2271822718.pdf;despacho_7601-2010_dr_84-2010.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 7599/2010 - Diário da República n.º 84/2010, Série II de 2010-04-30;https://diariodarepublica.pt/dr/detalhe/despacho/7599-2010-3546934;https://files.diariodarepublica.pt/2s/2010/04/084000000/2271822718.pdf;despacho_7599-2010_dr_84-2010.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 7598/2010 - Diário da República n.º 84/2010, Série II de 2010-04-30;https://diariodarepublica.pt/dr/detalhe/despacho/7598-2010-3546933;https://files.diariodarepublica.pt/2s/2010/04/084000000/2271822718.pdf;despacho_7598-2010_dr_84-2010.pdf;2010-07-29
[2009-01-01]-[2010-12-31];Despacho n.º 7597/2010 - Diário da República n.º 84/2010, Série II de 2010-04-30;https://diariodarepublica.pt/dr/detalhe/despacho/7597-2010-3546932;https://files.diariodarepublica.pt/2s/2010/04/084000000/2271722717.pdf;despacho_7597-2010_dr_84-2010.pdf;2010-07-29
