search_range;description;link_page;link_pdf;name_pdf;published;date_save_pdf;pdf_ok
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 14479/2022 - Diário da República n.º 242/2022, Série II de 2022-12-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/14479-2022-204879924;https://files.diariodarepublica.pt/2s/2022/12/242000000/0002700027.pdf;despacho_14479-2022_dr_242-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 14478/2022 - Diário da República n.º 242/2022, Série II de 2022-12-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/14478-2022-204879923;https://files.diariodarepublica.pt/2s/2022/12/242000000/0002600026.pdf;despacho_14478-2022_dr_242-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 14477/2022 - Diário da República n.º 242/2022, Série II de 2022-12-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/14477-2022-204879922;https://files.diariodarepublica.pt/2s/2022/12/242000000/0002500025.pdf;despacho_14477-2022_dr_242-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 14476/2022 - Diário da República n.º 242/2022, Série II de 2022-12-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/14476-2022-204879921;https://files.diariodarepublica.pt/2s/2022/12/242000000/0002400024.pdf;despacho_14476-2022_dr_242-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 14475/2022 - Diário da República n.º 242/2022, Série II de 2022-12-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/14475-2022-204879920;https://files.diariodarepublica.pt/2s/2022/12/242000000/0002300023.pdf;despacho_14475-2022_dr_242-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 14424/2022 - Diário da República n.º 241/2022, Série II de 2022-12-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/14424-2022-204865198;https://files.diariodarepublica.pt/2s/2022/12/241000000/0007400074.pdf;despacho_14424-2022_dr_241-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 14423/2022 - Diário da República n.º 241/2022, Série II de 2022-12-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/14423-2022-204865197;https://files.diariodarepublica.pt/2s/2022/12/241000000/0007300073.pdf;despacho_14423-2022_dr_241-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 14422/2022 - Diário da República n.º 241/2022, Série II de 2022-12-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/14422-2022-204865196;https://files.diariodarepublica.pt/2s/2022/12/241000000/0007200072.pdf;despacho_14422-2022_dr_241-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13868/2022 - Diário da República n.º 230/2022, Série II de 2022-11-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13868-2022-204014871;https://files.diariodarepublica.pt/2s/2022/11/230000000/0003300033.pdf;despacho_13868-2022_dr_230-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13867/2022 - Diário da República n.º 230/2022, Série II de 2022-11-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13867-2022-204014870;https://files.diariodarepublica.pt/2s/2022/11/230000000/0003200032.pdf;despacho_13867-2022_dr_230-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13866/2022 - Diário da República n.º 230/2022, Série II de 2022-11-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13866-2022-204014869;https://files.diariodarepublica.pt/2s/2022/11/230000000/0003100031.pdf;despacho_13866-2022_dr_230-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13865/2022 - Diário da República n.º 230/2022, Série II de 2022-11-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13865-2022-204014868;https://files.diariodarepublica.pt/2s/2022/11/230000000/0003000030.pdf;despacho_13865-2022_dr_230-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13864/2022 - Diário da República n.º 230/2022, Série II de 2022-11-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13864-2022-204014867;https://files.diariodarepublica.pt/2s/2022/11/230000000/0002900029.pdf;despacho_13864-2022_dr_230-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13863/2022 - Diário da República n.º 230/2022, Série II de 2022-11-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13863-2022-204014866;https://files.diariodarepublica.pt/2s/2022/11/230000000/0002800028.pdf;despacho_13863-2022_dr_230-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13862/2022 - Diário da República n.º 230/2022, Série II de 2022-11-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13862-2022-204014865;https://files.diariodarepublica.pt/2s/2022/11/230000000/0002700027.pdf;despacho_13862-2022_dr_230-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13778/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13778-2022-203898574;https://files.diariodarepublica.pt/2s/2022/11/228000000/0009700097.pdf;despacho_13778-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13777/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13777-2022-203898573;https://files.diariodarepublica.pt/2s/2022/11/228000000/0009600096.pdf;despacho_13777-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13776/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13776-2022-203898572;https://files.diariodarepublica.pt/2s/2022/11/228000000/0009500095.pdf;despacho_13776-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13775/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13775-2022-203898571;https://files.diariodarepublica.pt/2s/2022/11/228000000/0009400094.pdf;despacho_13775-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13774/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13774-2022-203898570;https://files.diariodarepublica.pt/2s/2022/11/228000000/0009300093.pdf;despacho_13774-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13773/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13773-2022-203898569;https://files.diariodarepublica.pt/2s/2022/11/228000000/0009200092.pdf;despacho_13773-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13772/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13772-2022-203898568;https://files.diariodarepublica.pt/2s/2022/11/228000000/0009100091.pdf;despacho_13772-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13771/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13771-2022-203898567;https://files.diariodarepublica.pt/2s/2022/11/228000000/0009000090.pdf;despacho_13771-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13770/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13770-2022-203898566;https://files.diariodarepublica.pt/2s/2022/11/228000000/0008900089.pdf;despacho_13770-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13769/2022 - Diário da República n.º 228/2022, Série II de 2022-11-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13769-2022-203898565;https://files.diariodarepublica.pt/2s/2022/11/228000000/0008800088.pdf;despacho_13769-2022_dr_228-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13607/2022 - Diário da República n.º 225/2022, Série II de 2022-11-22;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13607-2022-203731151;https://files.diariodarepublica.pt/2s/2022/11/225000000/0009700097.pdf;despacho_13607-2022_dr_225-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13606/2022 - Diário da República n.º 225/2022, Série II de 2022-11-22;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13606-2022-203731150;https://files.diariodarepublica.pt/2s/2022/11/225000000/0009600096.pdf;despacho_13606-2022_dr_225-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13605/2022 - Diário da República n.º 225/2022, Série II de 2022-11-22;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13605-2022-203731149;https://files.diariodarepublica.pt/2s/2022/11/225000000/0009500095.pdf;despacho_13605-2022_dr_225-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13604/2022 - Diário da República n.º 225/2022, Série II de 2022-11-22;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13604-2022-203731148;https://files.diariodarepublica.pt/2s/2022/11/225000000/0009400094.pdf;despacho_13604-2022_dr_225-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13603/2022 - Diário da República n.º 225/2022, Série II de 2022-11-22;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13603-2022-203731147;https://files.diariodarepublica.pt/2s/2022/11/225000000/0009300093.pdf;despacho_13603-2022_dr_225-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13442/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13442-2022-203635783;https://files.diariodarepublica.pt/2s/2022/11/223000000/0008000080.pdf;despacho_13442-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13441/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13441-2022-203635782;https://files.diariodarepublica.pt/2s/2022/11/223000000/0007900079.pdf;despacho_13441-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13439/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13439-2022-203635780;https://files.diariodarepublica.pt/2s/2022/11/223000000/0007700077.pdf;despacho_13439-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13438/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13438-2022-203635779;https://files.diariodarepublica.pt/2s/2022/11/223000000/0007600076.pdf;despacho_13438-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13437/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13437-2022-203635778;https://files.diariodarepublica.pt/2s/2022/11/223000000/0007500075.pdf;despacho_13437-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13435/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13435-2022-203635776;https://files.diariodarepublica.pt/2s/2022/11/223000000/0007300073.pdf;despacho_13435-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13434/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13434-2022-203635775;https://files.diariodarepublica.pt/2s/2022/11/223000000/0007200072.pdf;despacho_13434-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13433/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13433-2022-203592374;https://files.diariodarepublica.pt/2s/2022/11/223000000/0007100071.pdf;despacho_13433-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13431/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13431-2022-203592372;https://files.diariodarepublica.pt/2s/2022/11/223000000/0006900069.pdf;despacho_13431-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13430/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13430-2022-203592371;https://files.diariodarepublica.pt/2s/2022/11/223000000/0006800068.pdf;despacho_13430-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13429/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13429-2022-203592370;https://files.diariodarepublica.pt/2s/2022/11/223000000/0006700067.pdf;despacho_13429-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13428/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13428-2022-203592369;https://files.diariodarepublica.pt/2s/2022/11/223000000/0006600066.pdf;despacho_13428-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13427/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13427-2022-203592368;https://files.diariodarepublica.pt/2s/2022/11/223000000/0006500065.pdf;despacho_13427-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13426/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13426-2022-203592367;https://files.diariodarepublica.pt/2s/2022/11/223000000/0006400064.pdf;despacho_13426-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13425/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13425-2022-203592366;https://files.diariodarepublica.pt/2s/2022/11/223000000/0006300063.pdf;despacho_13425-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13424/2022 - Diário da República n.º 223/2022, Série II de 2022-11-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13424-2022-203592365;https://files.diariodarepublica.pt/2s/2022/11/223000000/0006200062.pdf;despacho_13424-2022_dr_223-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13236/2022 - Diário da República n.º 220/2022, Série II de 2022-11-15;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13236-2022-203452335;https://files.diariodarepublica.pt/2s/2022/11/220000000/0005000050.pdf;despacho_13236-2022_dr_220-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13172/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13172-2022-203364418;https://files.diariodarepublica.pt/2s/2022/11/219000000/0005400054.pdf;despacho_13172-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13171/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13171-2022-203364417;https://files.diariodarepublica.pt/2s/2022/11/219000000/0005300053.pdf;despacho_13171-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13170/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13170-2022-203364416;https://files.diariodarepublica.pt/2s/2022/11/219000000/0005200052.pdf;despacho_13170-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13169/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13169-2022-203364415;https://files.diariodarepublica.pt/2s/2022/11/219000000/0005100051.pdf;despacho_13169-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13168/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13168-2022-203364414;https://files.diariodarepublica.pt/2s/2022/11/219000000/0005000050.pdf;despacho_13168-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13167/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13167-2022-203364413;https://files.diariodarepublica.pt/2s/2022/11/219000000/0004900049.pdf;despacho_13167-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13166/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13166-2022-203364412;https://files.diariodarepublica.pt/2s/2022/11/219000000/0004800048.pdf;despacho_13166-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13165/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13165-2022-203364411;https://files.diariodarepublica.pt/2s/2022/11/219000000/0004700047.pdf;despacho_13165-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13164/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13164-2022-203364410;https://files.diariodarepublica.pt/2s/2022/11/219000000/0004600046.pdf;despacho_13164-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13163/2022 - Diário da República n.º 219/2022, Série II de 2022-11-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13163-2022-203364409;https://files.diariodarepublica.pt/2s/2022/11/219000000/0004500045.pdf;despacho_13163-2022_dr_219-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13097/2022 - Diário da República n.º 218/2022, Série II de 2022-11-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13097-2022-203285158;https://files.diariodarepublica.pt/2s/2022/11/218000000/0008900089.pdf;despacho_13097-2022_dr_218-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13096/2022 - Diário da República n.º 218/2022, Série II de 2022-11-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13096-2022-203285157;https://files.diariodarepublica.pt/2s/2022/11/218000000/0008800088.pdf;despacho_13096-2022_dr_218-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13095/2022 - Diário da República n.º 218/2022, Série II de 2022-11-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13095-2022-203285156;https://files.diariodarepublica.pt/2s/2022/11/218000000/0008700087.pdf;despacho_13095-2022_dr_218-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13094/2022 - Diário da República n.º 218/2022, Série II de 2022-11-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13094-2022-203285155;https://files.diariodarepublica.pt/2s/2022/11/218000000/0008600086.pdf;despacho_13094-2022_dr_218-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 13093/2022 - Diário da República n.º 218/2022, Série II de 2022-11-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/13093-2022-203285154;https://files.diariodarepublica.pt/2s/2022/11/218000000/0008500085.pdf;despacho_13093-2022_dr_218-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 12051/2022 - Diário da República n.º 199/2022, Série II de 2022-10-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/12051-2022-202229520;https://files.diariodarepublica.pt/2s/2022/10/199000000/0004200042.pdf;despacho_12051-2022_dr_199-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 12050/2022 - Diário da República n.º 199/2022, Série II de 2022-10-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/12050-2022-202229519;https://files.diariodarepublica.pt/2s/2022/10/199000000/0004100041.pdf;despacho_12050-2022_dr_199-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 12049/2022 - Diário da República n.º 199/2022, Série II de 2022-10-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/12049-2022-202229518;https://files.diariodarepublica.pt/2s/2022/10/199000000/0004000040.pdf;despacho_12049-2022_dr_199-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 12048/2022 - Diário da República n.º 199/2022, Série II de 2022-10-14;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/12048-2022-202229517;https://files.diariodarepublica.pt/2s/2022/10/199000000/0003900039.pdf;despacho_12048-2022_dr_199-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 11919/2022 - Diário da República n.º 196/2022, Série II de 2022-10-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11919-2022-202066832;https://files.diariodarepublica.pt/2s/2022/10/196000000/0008800088.pdf;despacho_11919-2022_dr_196-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 11918/2022 - Diário da República n.º 196/2022, Série II de 2022-10-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11918-2022-202066831;https://files.diariodarepublica.pt/2s/2022/10/196000000/0008700087.pdf;despacho_11918-2022_dr_196-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 11916/2022 - Diário da República n.º 196/2022, Série II de 2022-10-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11916-2022-202066829;https://files.diariodarepublica.pt/2s/2022/10/196000000/0008500085.pdf;despacho_11916-2022_dr_196-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 11915/2022 - Diário da República n.º 196/2022, Série II de 2022-10-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/11915-2022-202066828;https://files.diariodarepublica.pt/2s/2022/10/196000000/0008400084.pdf;despacho_11915-2022_dr_196-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 10387/2022 - Diário da República n.º 164/2022, Série II de 2022-08-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/10387-2022-200248637;https://files.diariodarepublica.pt/2s/2022/08/164000000/0004500045.pdf;despacho_10387-2022_dr_164-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 10386/2022 - Diário da República n.º 164/2022, Série II de 2022-08-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/10386-2022-200248636;https://files.diariodarepublica.pt/2s/2022/08/164000000/0004400044.pdf;despacho_10386-2022_dr_164-2022.pdf;2022-01-19;04/12/2023 17:06;True
[2022-01-01]-[2022-12-31];Despacho (extrato) n.º 10385/2022 - Diário da República n.º 164/2022, Série II de 2022-08-25;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/10385-2022-200248635;https://files.diariodarepublica.pt/2s/2022/08/164000000/0004300043.pdf;despacho_10385-2022_dr_164-2022.pdf;2022-01-19;04/12/2023 17:06;True
