search_range;description;link_page;link_pdf;name_pdf;published
[2015-01-01]-[2017-12-31];Despacho n.º 9301/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9301-2017-108355554;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403924040.pdf;despacho_9301-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9300/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9300-2017-108355553;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403924039.pdf;despacho_9300-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9296/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9296-2017-108355549;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403924039.pdf;despacho_9296-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9294/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9294-2017-108355547;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403824038.pdf;despacho_9294-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9293/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9293-2017-108355546;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403824038.pdf;despacho_9293-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9292/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9292-2017-108355545;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403824038.pdf;despacho_9292-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9291/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9291-2017-108355544;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403724038.pdf;despacho_9291-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9290/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9290-2017-108355543;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403724037.pdf;despacho_9290-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9289/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9289-2017-108355542;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403724037.pdf;despacho_9289-2017_dr_204-2017.pdf;2015-01-06
[2015-01-01]-[2017-12-31];Despacho n.º 9288/2017 - Diário da República n.º 204/2017, Série II de 2017-10-23;https://diariodarepublica.pt/dr/detalhe/despacho/9288-2017-108355541;https://files.diariodarepublica.pt/2s/2017/10/204000000/2403724037.pdf;despacho_9288-2017_dr_204-2017.pdf;2015-01-06
