search_range;description;link_page;link_pdf;name_pdf;published
[2021-01-01]-[2021-12-31];Despacho n.º 12830/2021 - Diário da República n.º 252/2021, Série II de 2021-12-30;https://diariodarepublica.pt/dr/detalhe/despacho/12830-2021-176800014;https://files.diariodarepublica.pt/2s/2021/12/252000000/0008700087.pdf;despacho_12830-2021_dr_252-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12829/2021 - Diário da República n.º 252/2021, Série II de 2021-12-30;https://diariodarepublica.pt/dr/detalhe/despacho/12829-2021-176800013;https://files.diariodarepublica.pt/2s/2021/12/252000000/0008600086.pdf;despacho_12829-2021_dr_252-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12828/2021 - Diário da República n.º 252/2021, Série II de 2021-12-30;https://diariodarepublica.pt/dr/detalhe/despacho/12828-2021-176800012;https://files.diariodarepublica.pt/2s/2021/12/252000000/0008500085.pdf;despacho_12828-2021_dr_252-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12827/2021 - Diário da República n.º 252/2021, Série II de 2021-12-30;https://diariodarepublica.pt/dr/detalhe/despacho/12827-2021-176800011;https://files.diariodarepublica.pt/2s/2021/12/252000000/0008400084.pdf;despacho_12827-2021_dr_252-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12826/2021 - Diário da República n.º 252/2021, Série II de 2021-12-30;https://diariodarepublica.pt/dr/detalhe/despacho/12826-2021-176800010;https://files.diariodarepublica.pt/2s/2021/12/252000000/0008300083.pdf;despacho_12826-2021_dr_252-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12759/2021 - Diário da República n.º 251/2021, Série II de 2021-12-29;https://diariodarepublica.pt/dr/detalhe/despacho/12759-2021-176716672;https://files.diariodarepublica.pt/2s/2021/12/251000000/0007200072.pdf;despacho_12759-2021_dr_251-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12758/2021 - Diário da República n.º 251/2021, Série II de 2021-12-29;https://diariodarepublica.pt/dr/detalhe/despacho/12758-2021-176716671;https://files.diariodarepublica.pt/2s/2021/12/251000000/0007100071.pdf;despacho_12758-2021_dr_251-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12756/2021 - Diário da República n.º 251/2021, Série II de 2021-12-29;https://diariodarepublica.pt/dr/detalhe/despacho/12756-2021-176716669;https://files.diariodarepublica.pt/2s/2021/12/251000000/0006900069.pdf;despacho_12756-2021_dr_251-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12755/2021 - Diário da República n.º 251/2021, Série II de 2021-12-29;https://diariodarepublica.pt/dr/detalhe/despacho/12755-2021-176716668;https://files.diariodarepublica.pt/2s/2021/12/251000000/0006800068.pdf;despacho_12755-2021_dr_251-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12754/2021 - Diário da República n.º 251/2021, Série II de 2021-12-29;https://diariodarepublica.pt/dr/detalhe/despacho/12754-2021-176716667;https://files.diariodarepublica.pt/2s/2021/12/251000000/0006700067.pdf;despacho_12754-2021_dr_251-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12753/2021 - Diário da República n.º 251/2021, Série II de 2021-12-29;https://diariodarepublica.pt/dr/detalhe/despacho/12753-2021-176716666;https://files.diariodarepublica.pt/2s/2021/12/251000000/0006600066.pdf;despacho_12753-2021_dr_251-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12751/2021 - Diário da República n.º 251/2021, Série II de 2021-12-29;https://diariodarepublica.pt/dr/detalhe/despacho/12751-2021-176716664;https://files.diariodarepublica.pt/2s/2021/12/251000000/0006400064.pdf;despacho_12751-2021_dr_251-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12721/2021 - Diário da República n.º 250/2021, Série II de 2021-12-28;https://diariodarepublica.pt/dr/detalhe/despacho/12721-2021-176628227;https://files.diariodarepublica.pt/2s/2021/12/250000000/0008200082.pdf;despacho_12721-2021_dr_250-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12720/2021 - Diário da República n.º 250/2021, Série II de 2021-12-28;https://diariodarepublica.pt/dr/detalhe/despacho/12720-2021-176628226;https://files.diariodarepublica.pt/2s/2021/12/250000000/0008100081.pdf;despacho_12720-2021_dr_250-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12416/2021 - Diário da República n.º 245/2021, Série II de 2021-12-21;https://diariodarepublica.pt/dr/detalhe/despacho/12416-2021-176231756;https://files.diariodarepublica.pt/2s/2021/12/245000000/0006800068.pdf;despacho_12416-2021_dr_245-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12375/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12375-2021-176147583;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005800058.pdf;despacho_12375-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12374/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12374-2021-176147582;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005700057.pdf;despacho_12374-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12373/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12373-2021-176147581;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005600056.pdf;despacho_12373-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12372/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12372-2021-176147580;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005500055.pdf;despacho_12372-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12371/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12371-2021-176147579;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005400054.pdf;despacho_12371-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12370/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12370-2021-176147578;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005300053.pdf;despacho_12370-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12369/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12369-2021-176147577;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005200052.pdf;despacho_12369-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12368/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12368-2021-176147576;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005100051.pdf;despacho_12368-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12367/2021 - Diário da República n.º 244/2021, Série II de 2021-12-20;https://diariodarepublica.pt/dr/detalhe/despacho/12367-2021-176147575;https://files.diariodarepublica.pt/2s/2021/12/244000000/0005000050.pdf;despacho_12367-2021_dr_244-2021.pdf;2021-01-12
[2021-01-01]-[2021-12-31];Despacho n.º 12297/2021 - Diário da República n.º 243/2021, Série II de 2021-12-17;https://diariodarepublica.pt/dr/detalhe/despacho/12297-2021-176058963;https://files.diariodarepublica.pt/2s/2021/12/243000000/0010900109.pdf;despacho_12297-2021_dr_243-2021.pdf;2021-01-12
