search_range;description;link_page;link_pdf;name_pdf;published
[2012-01-01]-[2014-12-31];Despacho n.º 10506/2014 - Diário da República n.º 155/2014, Série II de 2014-08-13;https://diariodarepublica.pt/dr/detalhe/despacho/10506-2014-56054132;https://files.diariodarepublica.pt/2s/2014/08/155000000/2096020960.pdf;despacho_10506-2014_dr_155-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 10504/2014 - Diário da República n.º 155/2014, Série II de 2014-08-13;https://diariodarepublica.pt/dr/detalhe/despacho/10504-2014-56054130;https://files.diariodarepublica.pt/2s/2014/08/155000000/2095920959.pdf;despacho_10504-2014_dr_155-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 10503/2014 - Diário da República n.º 155/2014, Série II de 2014-08-13;https://diariodarepublica.pt/dr/detalhe/despacho/10503-2014-56054129;https://files.diariodarepublica.pt/2s/2014/08/155000000/2095920959.pdf;despacho_10503-2014_dr_155-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 10501/2014 - Diário da República n.º 155/2014, Série II de 2014-08-13;https://diariodarepublica.pt/dr/detalhe/despacho/10501-2014-56054127;https://files.diariodarepublica.pt/2s/2014/08/155000000/2095920959.pdf;despacho_10501-2014_dr_155-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 10500/2014 - Diário da República n.º 155/2014, Série II de 2014-08-13;https://diariodarepublica.pt/dr/detalhe/despacho/10500-2014-56054126;https://files.diariodarepublica.pt/2s/2014/08/155000000/2095820959.pdf;despacho_10500-2014_dr_155-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 10499/2014 - Diário da República n.º 155/2014, Série II de 2014-08-13;https://diariodarepublica.pt/dr/detalhe/despacho/10499-2014-56054125;https://files.diariodarepublica.pt/2s/2014/08/155000000/2095820958.pdf;despacho_10499-2014_dr_155-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 9401/2014 - Diário da República n.º 138/2014, Série II de 2014-07-21;https://diariodarepublica.pt/dr/detalhe/despacho/9401-2014-55028294;https://files.diariodarepublica.pt/2s/2014/07/138000000/1867718677.pdf;despacho_9401-2014_dr_138-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 9400/2014 - Diário da República n.º 138/2014, Série II de 2014-07-21;https://diariodarepublica.pt/dr/detalhe/despacho/9400-2014-55028293;https://files.diariodarepublica.pt/2s/2014/07/138000000/1867718677.pdf;despacho_9400-2014_dr_138-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 9399/2014 - Diário da República n.º 138/2014, Série II de 2014-07-21;https://diariodarepublica.pt/dr/detalhe/despacho/9399-2014-55028292;https://files.diariodarepublica.pt/2s/2014/07/138000000/1867618677.pdf;despacho_9399-2014_dr_138-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 9477/2014 - Diário da República n.º 139/2014, Série II de 2014-07-22;https://diariodarepublica.pt/dr/detalhe/despacho/9477-2014-55025896;https://files.diariodarepublica.pt/2s/2014/07/139000000/1879718797.pdf;despacho_9477-2014_dr_139-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 9476/2014 - Diário da República n.º 139/2014, Série II de 2014-07-22;https://diariodarepublica.pt/dr/detalhe/despacho/9476-2014-55025895;https://files.diariodarepublica.pt/2s/2014/07/139000000/1879718797.pdf;despacho_9476-2014_dr_139-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 9475/2014 - Diário da República n.º 139/2014, Série II de 2014-07-22;https://diariodarepublica.pt/dr/detalhe/despacho/9475-2014-55025894;https://files.diariodarepublica.pt/2s/2014/07/139000000/1879718797.pdf;despacho_9475-2014_dr_139-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 7190/2014 - Diário da República n.º 105/2014, Série II de 2014-06-02;https://diariodarepublica.pt/dr/detalhe/despacho/7190-2014-25710449;https://files.diariodarepublica.pt/2s/2014/06/105000000/1424914249.pdf;despacho_7190-2014_dr_105-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 7189/2014 - Diário da República n.º 105/2014, Série II de 2014-06-02;https://diariodarepublica.pt/dr/detalhe/despacho/7189-2014-25710448;https://files.diariodarepublica.pt/2s/2014/06/105000000/1424914249.pdf;despacho_7189-2014_dr_105-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 7188/2014 - Diário da República n.º 105/2014, Série II de 2014-06-02;https://diariodarepublica.pt/dr/detalhe/despacho/7188-2014-25710447;https://files.diariodarepublica.pt/2s/2014/06/105000000/1424814248.pdf;despacho_7188-2014_dr_105-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 7187/2014 - Diário da República n.º 105/2014, Série II de 2014-06-02;https://diariodarepublica.pt/dr/detalhe/despacho/7187-2014-25710446;https://files.diariodarepublica.pt/2s/2014/06/105000000/1424814248.pdf;despacho_7187-2014_dr_105-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6444/2014 - Diário da República n.º 94/2014, Série II de 2014-05-16;https://diariodarepublica.pt/dr/detalhe/despacho/6444-2014-25703252;https://files.diariodarepublica.pt/2s/2014/05/094000000/1282112821.pdf;despacho_6444-2014_dr_94-2014.pdf;2013-10-08
