description;link_page;link_pdf;name_pdf;date_save_pdf;pdf_ok
Despacho (extrato) n.º 8374/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8374-2023-220059110;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004500045.pdf;despacho_8374-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8373/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8373-2023-220059109;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004400044.pdf;despacho_8373-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8372/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8372-2023-220059108;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004300043.pdf;despacho_8372-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8371/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8371-2023-220059107;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004200042.pdf;despacho_8371-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8370/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8370-2023-220059106;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004100041.pdf;despacho_8370-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8369/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8369-2023-220059105;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004000040.pdf;despacho_8369-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8368/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8368-2023-220059104;https://files.diariodarepublica.pt/2s/2023/08/160000000/0003900039.pdf;despacho_8368-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8367/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8367-2023-220059103;https://files.diariodarepublica.pt/2s/2023/08/160000000/0003800038.pdf;despacho_8367-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8105/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8105-2023-216770743;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003500035.pdf;despacho_8105-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8104/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8104-2023-216770742;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003400034.pdf;despacho_8104-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8103/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8103-2023-216770741;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003300033.pdf;despacho_8103-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8102/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8102-2023-216770740;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003200032.pdf;despacho_8102-2023_dr_153-2023.pdf;01/11/2023 00:08;True
