search_range;description;link_page;link_pdf;name_pdf;published
[2018-01-01]-[2020-12-31];Despacho n.º 11878/2020 - Diário da República n.º 235/2020, Série II de 2020-12-03;https://diariodarepublica.pt/dr/detalhe/despacho/11878-2020-150135651;https://files.diariodarepublica.pt/2s/2020/12/235000000/0005600056.pdf;despacho_11878-2020_dr_235-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11850/2020 - Diário da República n.º 234/2020, Série II de 2020-12-02;https://diariodarepublica.pt/dr/detalhe/despacho/11850-2020-150109630;https://files.diariodarepublica.pt/2s/2020/12/234000000/0002400024.pdf;despacho_11850-2020_dr_234-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11849/2020 - Diário da República n.º 234/2020, Série II de 2020-12-02;https://diariodarepublica.pt/dr/detalhe/despacho/11849-2020-150109629;https://files.diariodarepublica.pt/2s/2020/12/234000000/0002300023.pdf;despacho_11849-2020_dr_234-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11848/2020 - Diário da República n.º 234/2020, Série II de 2020-12-02;https://diariodarepublica.pt/dr/detalhe/despacho/11848-2020-150109628;https://files.diariodarepublica.pt/2s/2020/12/234000000/0002200022.pdf;despacho_11848-2020_dr_234-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11801/2020 - Diário da República n.º 233/2020, Série II de 2020-11-30;https://diariodarepublica.pt/dr/detalhe/despacho/11801-2020-149948221;https://files.diariodarepublica.pt/2s/2020/11/233000000/0002800028.pdf;despacho_11801-2020_dr_233-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11800/2020 - Diário da República n.º 233/2020, Série II de 2020-11-30;https://diariodarepublica.pt/dr/detalhe/despacho/11800-2020-149948220;https://files.diariodarepublica.pt/2s/2020/11/233000000/0002700027.pdf;despacho_11800-2020_dr_233-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11799/2020 - Diário da República n.º 233/2020, Série II de 2020-11-30;https://diariodarepublica.pt/dr/detalhe/despacho/11799-2020-149948219;https://files.diariodarepublica.pt/2s/2020/11/233000000/0002600026.pdf;despacho_11799-2020_dr_233-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11798/2020 - Diário da República n.º 233/2020, Série II de 2020-11-30;https://diariodarepublica.pt/dr/detalhe/despacho/11798-2020-149948218;https://files.diariodarepublica.pt/2s/2020/11/233000000/0002500025.pdf;despacho_11798-2020_dr_233-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11439/2020 - Diário da República n.º 226/2020, Série II de 2020-11-19;https://diariodarepublica.pt/dr/detalhe/despacho/11439-2020-148853561;https://files.diariodarepublica.pt/2s/2020/11/226000000/0005200052.pdf;despacho_11439-2020_dr_226-2020.pdf;2018-01-18
[2018-01-01]-[2020-12-31];Despacho n.º 11438/2020 - Diário da República n.º 226/2020, Série II de 2020-11-19;https://diariodarepublica.pt/dr/detalhe/despacho/11438-2020-148853560;https://files.diariodarepublica.pt/2s/2020/11/226000000/0005100051.pdf;despacho_11438-2020_dr_226-2020.pdf;2018-01-18
