search_range;description;link_page;link_pdf;name_pdf;published;date_save_pdf;pdf_ok
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5988/2024 - Diário da República n.º 103/2024, Série II de 2024-05-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5988-2024-867195922;https://files.diariodarepublica.pt/2s/2024/05/103000000/0004700048.pdf;despacho_5988-2024_dr_103-2024.pdf;2024-05-28;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5987/2024 - Diário da República n.º 103/2024, Série II de 2024-05-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5987-2024-867195921;https://files.diariodarepublica.pt/2s/2024/05/103000000/0004500046.pdf;despacho_5987-2024_dr_103-2024.pdf;2024-05-28;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5986/2024 - Diário da República n.º 103/2024, Série II de 2024-05-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5986-2024-867195920;https://files.diariodarepublica.pt/2s/2024/05/103000000/0004300044.pdf;despacho_5986-2024_dr_103-2024.pdf;2024-05-28;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5985/2024 - Diário da República n.º 103/2024, Série II de 2024-05-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5985-2024-867195919;https://files.diariodarepublica.pt/2s/2024/05/103000000/0004100042.pdf;despacho_5985-2024_dr_103-2024.pdf;2024-05-28;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5984/2024 - Diário da República n.º 103/2024, Série II de 2024-05-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5984-2024-867195918;https://files.diariodarepublica.pt/2s/2024/05/103000000/0003900040.pdf;despacho_5984-2024_dr_103-2024.pdf;2024-05-28;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5983/2024 - Diário da República n.º 103/2024, Série II de 2024-05-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5983-2024-867195917;https://files.diariodarepublica.pt/2s/2024/05/103000000/0003700038.pdf;despacho_5983-2024_dr_103-2024.pdf;2024-05-28;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5982/2024 - Diário da República n.º 103/2024, Série II de 2024-05-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5982-2024-867195916;https://files.diariodarepublica.pt/2s/2024/05/103000000/0003500036.pdf;despacho_5982-2024_dr_103-2024.pdf;2024-05-28;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5931/2024 - Diário da República n.º 102/2024, Série II de 2024-05-27;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5931-2024-867159973;https://files.diariodarepublica.pt/2s/2024/05/102000000/0003300034.pdf;despacho_5931-2024_dr_102-2024.pdf;2024-05-27;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5930/2024 - Diário da República n.º 102/2024, Série II de 2024-05-27;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5930-2024-867159972;https://files.diariodarepublica.pt/2s/2024/05/102000000/0003100032.pdf;despacho_5930-2024_dr_102-2024.pdf;2024-05-27;16/06/2024 11:59;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5929/2024 - Diário da República n.º 102/2024, Série II de 2024-05-27;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5929-2024-867159971;https://files.diariodarepublica.pt/2s/2024/05/102000000/0002900030.pdf;despacho_5929-2024_dr_102-2024.pdf;2024-05-27;16/06/2024 12:00;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5928/2024 - Diário da República n.º 102/2024, Série II de 2024-05-27;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5928-2024-867159970;https://files.diariodarepublica.pt/2s/2024/05/102000000/0002700028.pdf;despacho_5928-2024_dr_102-2024.pdf;2024-05-27;16/06/2024 12:00;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5927/2024 - Diário da República n.º 102/2024, Série II de 2024-05-27;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5927-2024-867159969;https://files.diariodarepublica.pt/2s/2024/05/102000000/0002500026.pdf;despacho_5927-2024_dr_102-2024.pdf;2024-05-27;16/06/2024 12:00;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5926/2024 - Diário da República n.º 102/2024, Série II de 2024-05-27;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5926-2024-867159968;https://files.diariodarepublica.pt/2s/2024/05/102000000/0002300024.pdf;despacho_5926-2024_dr_102-2024.pdf;2024-05-27;16/06/2024 12:00;True
[2024-05-01]-[2024-06-16];Despacho (extrato) n.º 5925/2024 - Diário da República n.º 102/2024, Série II de 2024-05-27;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/5925-2024-867159967;https://files.diariodarepublica.pt/2s/2024/05/102000000/0002100022.pdf;despacho_5925-2024_dr_102-2024.pdf;2024-05-27;16/06/2024 12:00;True
